axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
workload,daily,picking_movs_atribuibles_entrega,ma7,3,2026-01-23,2026-02-26,0.6553508329126703,0.7138273451036791,0.6394361522153458,0.6226930963773069,0.9029372388732138,1.5704542047669017,
workload,daily,picking_movs_atribuibles_entrega,ma28,3,2026-01-23,2026-02-26,0.5858152448258456,0.7242891432087176,0.5715891813178579,0.6927546138072453,1.060120667839735,1.7471518512966573,
workload,daily,picking_movs_atribuibles_entrega,model_p50,3,2026-01-23,2026-02-26,0.01811752602282608,0.17027023558070992,0.017677556120907652,0.01648545202821621,0.01621259470535456,0.04157689816350227,
workload,daily,picking_movs_atribuibles_entrega,model_p80,3,2026-01-23,2026-02-26,0.08832147794241756,0.2992178025748265,0.08617666015997541,0.011695951725005161,0.011493330138970794,0.029497607524711342,
workload,daily,picking_movs_no_atribuibles,naive_t7,3,2026-01-23,2026-02-26,1.5128205128205128,1.0905339699982557,0.2319434461721859,0.8214285714285714,1.5238095238095237,0.6329304209105412,
workload,daily,picking_movs_no_atribuibles,ma7,3,2026-01-23,2026-02-26,1.315018315018315,1.3404988917862604,0.20161670018357078,0.8622448979591837,1.4994319104041551,0.6643803797135494,
workload,daily,picking_movs_no_atribuibles,ma28,3,2026-01-23,2026-02-26,1.899267399267399,1.3443230091327074,0.29119292213142456,0.5829081632653061,0.8087384599313145,0.4491447241554617,
workload,daily,picking_movs_no_atribuibles,model_p50,3,2026-01-23,2026-02-26,0.8290589585140873,1.1645915498486923,0.12711011669134825,0.05717641875929948,0.04956463710999723,0.044055802354846164,
workload,daily,picking_movs_no_atribuibles,model_p80,3,2026-01-23,2026-02-26,1.8274800225680603,1.3466917634418414,0.2801865856875447,0.09782546899114333,0.08103969466169762,0.07537687075658228,
service,weekly,conteo_servicios,naive_t7,1,2024-11-11,2024-12-30,0.5890804597701149,0.5929715778421003,0.47832889408605644,0.3283582089552239,0.28205128205128205,0.9239914246735529,
service,weekly,conteo_servicios,ma7,1,2024-11-11,2024-12-30,0.5153940886699507,0.5297833586968554,0.41849611604532677,0.27825159914712155,0.3232198142414861,0.7829927332460953,
service,weekly,conteo_servicios,ma28,1,2024-11-11,2024-12-30,0.6412664203612479,0.6153403777706126,0.5207035008182446,0.15991471215351813,0.1738122827346466,0.4499958237046524,
service,weekly,conteo_servicios,model_p50,1,2024-11-11,2024-12-30,0.17235182876678987,0.35231580920934363,0.13994838613370406,0.1607641543878968,0.174816247488254,0.45238613196835853,
service,weekly,conteo_servicios,model_p80,1,2024-11-11,2024-12-30,0.128309809164159,0.3694842239758105,0.1041865981123123,0.07910939184535322,0.08236740968956238,0.22261176265038635,
service,weekly,m3_out,naive_t7,1,2024-11-11,2024-12-30,0.910452432958404,0.5633943141030635,0.4186398113947656,0.6091286307053941,0.4669211195928753,1.1574647219985945,
service,weekly,m3_out,ma7,1,2024-11-11,2024-12-30,0.6374441421290585,0.9603032942919023,0.2931064663844984,0.09762892708950784,0.10263920481101779,0.18551424650950585,
