week_iso,year,week_start_date,week_end_date,eventos_entrega_semana_p50,eventos_entrega_semana_p80,m3_out_semana_p50,m3_out_semana_p80,pales_out_semana_p50,pales_out_semana_p80,cajas_out_semana_p50,cajas_out_semana_p80,peso_facturable_out_semana_p50,peso_facturable_out_semana_p80,eventos_recogida_semana_p50,eventos_recogida_semana_p80,m3_in_semana_p50,m3_in_semana_p80,pales_in_semana_p50,pales_in_semana_p80,cajas_in_semana_p50,cajas_in_semana_p80,peso_facturable_in_semana_p50,peso_facturable_in_semana_p80,picking_movs_esperados_semana_p50,picking_movs_esperados_semana_p80,inbound_recepcion_pales_esperados_semana_p50,inbound_recepcion_pales_esperados_semana_p80,inbound_recepcion_cr_esperados_semana_p50,inbound_recepcion_cr_esperados_semana_p80,inbound_ubicacion_cajas_esperados_semana_p50,inbound_ubicacion_cajas_esperados_semana_p80,inbound_ubicacion_ep_esperados_semana_p50,inbound_ubicacion_ep_esperados_semana_p80,inbound_m3_esperados_semana_p50,inbound_m3_esperados_semana_p80,picking_movs_reales_semana,picking_movs_no_atribuibles_semana,picking_movs_no_atribuibles_semana_p50,picking_movs_no_atribuibles_semana_p80
26,2022,2022-06-27,2022-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,198.0,0.0,0.0
27,2022,2022-07-04,2022-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,232.0,0.0,0.0
28,2022,2022-07-11,2022-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,55.0,0.0,0.0
29,2022,2022-07-18,2022-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,209.0,0.0,0.0
30,2022,2022-07-25,2022-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,74.0,0.0,0.0
31,2022,2022-08-01,2022-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,146.0,0.0,0.0
32,2022,2022-08-08,2022-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,275.0,0.0,0.0
33,2022,2022-08-15,2022-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,128.0,0.0,0.0
34,2022,2022-08-22,2022-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,20.0,0.0,0.0
35,2022,2022-08-29,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,51.0,0.0,0.0
