fecha,eventos_entrega_p50,eventos_entrega_p80,m3_out_p50,m3_out_p80,pales_out_p50,pales_out_p80,cajas_out_p50,cajas_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,eventos_recogida_p50,eventos_recogida_p80,m3_in_p50,m3_in_p80,pales_in_p50,pales_in_p80,cajas_in_p50,cajas_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,picking_movs_esperados_p50,picking_movs_esperados_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80
2026-03-31,16.0,21.0,32.6642832363348,46.363382871334686,22.0,33.0,27.0,50.0,2988.561320127238,7408.402042386717,5.0,7.0,6.404519583792135,18.9864917220742,7.0,23.0,9.0,16.0,31.908855050683435,3020.431264825137,24.0,62.0,8.0,26.0,17.16697359079545,36.9359444619627,8.0,13.0,18.693194822707564,37.570163242865775,10.326726525341353,18.266618421081425,6.0,18.0
2026-04-01,15.0,22.0,37.02278628137195,50.65128425219089,30.0,43.0,31.0,58.0,6898.790356670634,9184.992879112773,4.0,7.0,5.5558582445938045,13.752632032304149,6.0,20.0,7.0,15.0,1389.5066985292083,4509.779739794373,35.0,95.0,8.0,24.0,6.771788252514281,23.027575864077182,8.0,14.0,7.1191586503674245,23.473727820416144,8.435081793848736,17.29426706734114,1.0,7.0
2026-04-02,2.0,4.0,5.257272126536059,15.398434730919682,6.0,16.0,2.0,7.0,2027.882986970618,8571.028125269011,2.0,3.0,5.4421412519842765,12.894726106578823,5.0,9.0,6.0,15.0,1050.3950651437588,2682.5967368284405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,3.0,6.0,6.5943180341171175,23.037761845919796,9.0,45.0,1.0,10.0,3482.1459426650695,15608.387474734092,2.0,4.0,3.2971060887313657,18.383067633000728,4.0,14.0,5.0,11.0,1277.1857613891104,2944.8208643966923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04,2.0,5.0,3.968991308591571,9.942936360376097,3.0,15.0,4.0,6.0,1255.4113664169959,5369.937357731713,2.0,5.0,8.709908105371545,26.57912521517172,6.0,30.0,4.0,6.0,1840.502506775594,9214.16314939612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-05,2.0,4.0,3.532883093533623,10.361951897630533,4.0,14.0,1.0,4.0,1367.2491502133175,3321.8604570883836,2.0,4.0,7.716426478346417,26.334154297818436,11.0,18.0,3.0,6.0,2208.7474781230894,9090.693213706547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-04-06,17.0,24.0,31.0238675382832,60.3662039210014,32.0,62.0,30.0,37.0,7287.375145700601,16634.307317575764,7.0,9.0,10.0082963618768,21.90689021003316,15.0,48.0,7.0,16.0,4371.727518297428,18727.55699642794,14.0,83.0,33.0,99.0,42.94996680455474,131.9453158855219,31.0,60.0,38.458679618568866,114.1165091771344,33.12218166814564,94.34331153919331,1.0,15.0
2026-04-07,17.0,25.0,29.492898869039493,54.300403591971616,27.0,56.0,27.0,39.0,7040.407678470208,15325.043452958924,5.0,8.0,7.11621633118521,16.948215952229205,8.0,16.0,6.0,11.0,2108.032535643488,7461.017937136471,28.0,65.0,10.0,31.0,12.6105484041163,41.66698500334834,5.0,9.0,14.259189732435576,43.185190480229814,8.657875393623167,23.232298526767302,2.0,19.0
2026-04-08,17.0,27.0,36.108382939087996,63.799419250812726,32.0,72.0,36.0,45.0,12868.175246614566,22803.476854338776,5.0,9.0,7.1084806950661505,15.307241340127776,10.0,18.0,6.0,12.0,1335.0024700310464,6905.208539979462,34.0,95.0,10.0,22.0,13.152143605704092,33.355359728293834,5.0,10.0,15.136779144431522,37.942033513767896,7.7814466817717545,20.554086216433028,2.0,20.0
2026-04-09,21.0,31.0,43.0901080249417,64.17569085179969,38.0,79.0,39.0,49.0,13991.433102035882,26468.184322211,7.0,10.0,8.226028598578758,14.472631273476699,11.0,21.0,6.0,13.0,2174.142071635826,9203.354969684222,37.0,89.0,11.0,27.0,20.025641048078565,49.68305712581139,7.0,13.0,18.633833377308946,47.39390772858986,8.284519278821545,17.604959071521655,3.0,25.0
