axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,empirical_coverage_p80,pinball_loss_p50,pinball_loss_p80,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
workload,daily,workload_no_atribuible_movs,ma28,1,2024-11-16,2024-12-13,0.6688947876447876,0.9105083472845157,1.4140897983490615,,53.033801020408156,,0.5296686072548141,0.7204956638931457,2.2526263261986785,
workload,daily,workload_no_atribuible_movs,model_p50,1,2024-11-16,2024-12-13,0.020599923635084276,0.3766580052936189,0.04354966191575673,,1.6332796596388248,,0.002549100231507592,0.0025002510775753947,0.010841062148980054,
workload,daily,workload_no_atribuible_movs,model_p80,1,2024-11-16,2024-12-13,0.04886077635816482,0.5156818016337623,0.10329505725523394,0.7857142857142857,,2.077139981439663,0.007643556328917852,0.007399226394594069,0.03250726204360375,
workload,daily,picking_movs,naive_t7,1,2024-11-16,2024-12-13,0.4692005242463958,0.36538280225548175,0.7100332651264876,,12.785714285714286,,0.3814814814814815,0.500168776371308,1.4299831959670322,
workload,daily,picking_movs,ma7,1,2024-11-16,2024-12-13,0.6598015352930162,0.8486572401823099,0.9984665707524908,,17.97959183673469,,0.5248677248677249,0.7126100145868564,1.9674664776689266,
workload,daily,picking_movs,ma28,1,2024-11-16,2024-12-13,0.6884478562067028,0.8802090846974588,1.041816566588226,,18.76020408163265,,0.5636243386243386,0.7842009788542299,2.112745630379863,
workload,daily,picking_movs,model_p50,1,2024-11-16,2024-12-13,0.018454026060207244,0.6578309077638202,0.02792616738718167,,0.5028722101406474,,0.02006684235401687,0.020221061499898132,0.0752205513382348,
workload,daily,picking_movs,model_p80,1,2024-11-16,2024-12-13,0.056084023761798836,0.6873237185104223,0.08487101027216602,0.9285714285714286,,0.6280912562598614,0.02679949983595954,0.02707950568862211,0.10045791548495837,
workload,daily,picking_movs_atribuibles,naive_t7,1,2024-11-16,2024-12-13,0.49607423269093504,0.39378234412925245,0.854100655897172,,12.410714285714286,,0.39285714285714285,0.5217263219914567,1.7032856245661587,
workload,daily,picking_movs_atribuibles,ma7,1,2024-11-16,2024-12-13,0.6914448863057,0.8833003741652616,1.1904741105115566,,17.2984693877551,,0.5294784580498867,0.7193366036810844,2.295625935562471,
workload,daily,picking_movs_atribuibles,ma28,1,2024-11-16,2024-12-13,0.7446211889466706,0.9705693034682389,1.2820287851365049,,18.62882653061224,,0.6333616780045351,0.9255442920231396,2.7460257778449364,
workload,daily,picking_movs_atribuibles,model_p50,1,2024-11-16,2024-12-13,0.006920833338820973,0.6475068703771433,0.011915733381227126,,0.17314441978014614,,0.005435484263893145,0.0056641664666416975,0.02356628198716849,
workload,daily,picking_movs_atribuibles,model_p80,1,2024-11-16,2024-12-13,0.026766390536133906,0.6589616776071908,0.046084215237107144,0.9642857142857143,,0.27083274516891537,0.005435484263893145,0.0056641664666416975,0.02356628198716849,
workload,daily,picking_movs_atribuibles_entrega,naive_t7,1,2024-11-16,2024-12-13,0.49607423269093504,0.39378234412925245,0.854100655897172,,12.410714285714286,,0.39285714285714285,0.5217263219914567,1.7032856245661587,
workload,daily,picking_movs_atribuibles_entrega,ma7,1,2024-11-16,2024-12-13,0.6914448863057,0.8833003741652616,1.1904741105115566,,17.2984693877551,,0.5294784580498867,0.7193366036810844,2.295625935562471,
workload,daily,picking_movs_atribuibles_entrega,ma28,1,2024-11-16,2024-12-13,0.7446211889466706,0.9705693034682389,1.2820287851365049,,18.62882653061224,,0.6333616780045351,0.9255442920231396,2.7460257778449364,
workload,daily,picking_movs_atribuibles_entrega,model_p50,1,2024-11-16,2024-12-13,0.006920833338820973,0.6475068703771433,0.011915733381227126,,0.17314441978014614,,0.005435484263893145,0.0056641664666416975,0.02356628198716849,
workload,daily,picking_movs_atribuibles_entrega,model_p80,1,2024-11-16,2024-12-13,0.026766390536133906,0.6589616776071908,0.046084215237107144,0.9642857142857143,,0.27083274516891537,0.005435484263893145,0.0056641664666416975,0.02356628198716849,
workload,daily,picking_movs_no_atribuibles,naive_t7,1,2024-11-16,2024-12-13,1.224,0.6988948927372574,0.374428740690589,,2.732142857142857,,0.6388888888888888,1.02020202020202,0.7880134281200631,
workload,daily,picking_movs_no_atribuibles,ma7,1,2024-11-16,2024-12-13,1.297142857142857,1.2063854159231953,0.3968035673985233,,2.8954081632653055,,0.8293650793650794,1.4035433070866143,1.022949108553374,
workload,daily,picking_movs_no_atribuibles,ma28,1,2024-11-16,2024-12-13,1.9965714285714287,1.26929376007762,0.6107628477931457,,4.456632653061225,,0.5148809523809523,0.6789462013319123,0.6350605111712931,
