date,axis,tipo_servicio,dow,week_iso,month,year,day,week_of_month,fin_de_mes,is_weekend,is_holiday,is_pre_holiday_1,is_pre_holiday_2,is_post_holiday_1,is_post_holiday_2,is_puente,dias_desde_holiday,dias_hasta_holiday,easter_week_rel,is_semana_santa,post_semana_santa,easter_day_of_year,temp_media_weighted,precip_weighted,viento_weighted,temp_media_weighted_roll3,temp_media_weighted_roll7,precip_weighted_roll3,precip_weighted_roll7,viento_weighted_roll3,viento_weighted_roll7,weather_source,weather_fallback,conteo_servicios_p50,conteo_servicios_p80,m3_out_p50,m3_out_p80,cajas_out_p50,cajas_out_p80,pales_out_p50,pales_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,m3_in_p50,m3_in_p80,cajas_in_p50,cajas_in_p80,pales_in_p50,pales_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,freq,conteo_movimientos_p50,conteo_movimientos_p80,unidades_movidas_p50,unidades_movidas_p80,skus_distintos_p50,skus_distintos_p80,workload_atribuible_movs_p50,workload_atribuible_movs_p80,workload_no_atribuible_movs_p50,workload_no_atribuible_movs_p80,picking_movs_p50,picking_movs_p80,picking_movs_atribuibles_p50,picking_movs_atribuibles_p80,picking_movs_atribuibles_entrega_p50,picking_movs_atribuibles_entrega_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80,picking_movs_esperados_desde_servicio_p50,picking_movs_esperados_desde_servicio_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,ratio_method,inbound_method,workload_expected_movs_p50,workload_expected_movs_p80,movimientos_esperados_desde_servicio_p50,movimientos_esperados_desde_servicio_p80
2026-03-24,service,desconocida,1.0,13.0,3.0,2026.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,3.8308497531579513,5.999154238102174,53.0,312.0,4.0,12.0,497.4784256803631,1691.8955384794751,4.121052274167885,8.184749026357954,6.0,9.0,5.0,9.0,1500.6139857694914,3434.971991786029,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-24,service,entrega,1.0,13.0,3.0,2026.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,17.0,25.0,25.724421149307673,50.12538948671162,446.0,2201.0,20.0,32.0,2623.3831695267922,3688.4104522123166,0.04736115123478275,2.69485124327472,0.0,1.0,0.0,1.0,1.9035000228881835,284.71348778053334,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-24,service,mixto,1.0,13.0,3.0,2026.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,5.0,8.0,11.284093164992044,16.200636315384482,63.0,323.0,12.0,25.0,2276.335012619005,3658.6929702022408,3.5642801897276786,8.922891988862197,5.0,8.0,5.0,10.0,1565.968161589434,2550.7423333391425,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-24,service,recogida,1.0,13.0,3.0,2026.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,9.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,3.0,4.0,0.10357132439775939,0.8808721216972465,0.0,2.0,0.0,2.0,16.197119413212125,174.517662966666,3.9266385176998835,11.855849488453305,5.0,9.0,6.0,11.0,1575.7664224065,1575.7664224065,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-25,service,desconocida,2.0,13.0,3.0,2026.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,8.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,3.8891899175077764,5.2919842536165715,53.0,214.0,4.0,11.0,387.87802486422163,1250.8449095289802,4.6244151444774895,10.020690147079298,6.0,9.0,5.0,7.0,1656.7306237945309,3286.1565116536094,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-25,service,entrega,2.0,13.0,3.0,2026.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,8.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,17.0,25.0,22.90324437564146,45.88872202764973,447.0,1677.0,20.0,30.0,4194.785705939707,5194.5044552329955,0.08268759692865593,2.5318035782851953,0.0,1.0,0.0,1.0,1.9035000228881835,160.33661439489188,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-25,service,mixto,2.0,13.0,3.0,2026.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,8.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,5.0,7.0,10.922744262136039,15.519902861150316,63.0,225.0,12.0,25.0,2621.9538237790157,4729.26476792143,4.067643060037284,12.558845593598127,5.0,7.0,5.0,8.0,1722.0847996144742,2512.476926532762,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-25,service,recogida,2.0,13.0,3.0,2026.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,8.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,3.0,4.0,0.2704050775005263,0.42407917062852135,0.0,2.0,0.0,1.0,39.9970434908747,257.31401780465467,5.758774166646709,18.9230645390744,6.0,8.0,7.0,9.0,1786.3405653432442,2642.1687092479037,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-26,service,desconocida,3.0,13.0,3.0,2026.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,7.0,-1,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,3.5206116620196037,5.682344852095692,54.0,214.0,4.0,12.0,428.6597740482338,1304.3845342862946,4.207793324452708,9.185550823436586,6.0,9.0,4.0,6.0,895.9947750243947,2280.832406387668,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-26,service,entrega,3.0,13.0,3.0,2026.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,7.0,-1,0.0,0.0,95.0,,,,,,,,,,missing,1.0,16.0,24.0,23.188135520243215,45.06249832000311,448.0,1674.0,22.0,31.0,4200.601277798756,5362.035526819187,0.03071794124169322,2.249041361842544,0.0,1.0,0.0,1.0,1.9003454333173087,180.53731248192406,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
