fecha,process,driver,driver_forecast_p50,driver_forecast_p80,productivity_estandar,allowance_pct,setup_hours,shift_hours,utilization_effective,horas_requeridas_p50,horas_requeridas_p80,fte_requeridos_p50,fte_requeridos_p80
2026-04-01,inbound_recepcion,inbound_recepcion_cr_esperados,3.770704067467564,17.686728130381614,22.0,0.12,0.25,8.0,0.85,0.4419631161619851,1.1504152502739733,0.06499457590617427,0.1691787132755843
2026-04-01,inbound_ubicacion,inbound_ubicacion_ep_esperados,2.472721171540413,16.927260272511948,28.0,0.12,0.25,8.0,0.85,0.3489088468616165,0.927090410900478,0.051310124538473015,0.13633682513242323
2026-04-01,no_atribuible,picking_movs_no_atribuibles,0.0,6.0,100.0,0.15,0.25,8.0,0.85,0.25,0.319,0.03676470588235294,0.046911764705882354
2026-04-01,picking_out,picking_movs_esperados,24.0,87.0,120.0,0.15,0.5,8.0,0.85,0.73,1.3337499999999998,0.10735294117647058,0.1961397058823529
2026-04-02,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-02,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-02,no_atribuible,picking_movs_no_atribuibles,0.0,1.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2615,0.03676470588235294,0.03845588235294118
2026-04-02,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-03,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-03,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-03,no_atribuible,picking_movs_no_atribuibles,0.0,2.0,100.0,0.15,0.25,8.0,0.85,0.25,0.273,0.03676470588235294,0.04014705882352942
2026-04-03,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-04,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-04,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-04,no_atribuible,picking_movs_no_atribuibles,0.0,3.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2845,0.03676470588235294,0.04183823529411764
2026-04-04,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-05,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-05,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-04-05,no_atribuible,picking_movs_no_atribuibles,0.0,1.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2615,0.03676470588235294,0.03845588235294118
2026-04-05,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-04-06,inbound_recepcion,inbound_recepcion_cr_esperados,31.243538918609637,113.65581378967569,22.0,0.12,0.25,8.0,0.85,1.840580163129218,6.036114156565309,0.27067355340135557,0.8876638465537219
2026-04-06,inbound_ubicacion,inbound_ubicacion_ep_esperados,17.64710284784524,98.95830621321129,28.0,0.12,0.25,8.0,0.85,0.9558841139138096,4.208332248528452,0.14057119322261905,0.6188723894894782
2026-04-06,no_atribuible,picking_movs_no_atribuibles,1.0,15.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.4225,0.03845588235294118,0.06213235294117647
2026-04-06,picking_out,picking_movs_esperados,12.0,82.0,120.0,0.15,0.5,8.0,0.85,0.615,1.2858333333333332,0.09044117647058823,0.18909313725490193
2026-04-07,inbound_recepcion,inbound_recepcion_cr_esperados,7.878456135727516,31.82889975398638,22.0,0.12,0.25,8.0,0.85,0.6510850396370372,1.870380351112034,0.09574779994662312,0.27505593398706385
2026-04-07,inbound_ubicacion,inbound_ubicacion_ep_esperados,8.199578899476245,34.10268242866446,28.0,0.12,0.25,8.0,0.85,0.5779831559790498,1.6141072971465786,0.08499752293809557,0.23736872016861452
2026-04-07,no_atribuible,picking_movs_no_atribuibles,1.0,18.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.45699999999999996,0.03845588235294118,0.06720588235294117
