owner_scope,period_type,period_label,n_skus_AX,pct_pick_lines_AX,n_skus_AY,pct_pick_lines_AY,n_skus_AZ,pct_pick_lines_AZ,n_skus_BX,pct_pick_lines_BX,n_skus_BY,pct_pick_lines_BY,n_skus_BZ,pct_pick_lines_BZ,n_skus_CX,pct_pick_lines_CX,n_skus_CY,pct_pick_lines_CY,n_skus_CZ,pct_pick_lines_CZ,n_skus_ALOW_HISTORY,pct_pick_lines_ALOW_HISTORY,n_skus_BLOW_HISTORY,pct_pick_lines_BLOW_HISTORY,n_skus_CLOW_HISTORY,pct_pick_lines_CLOW_HISTORY
23,ytd,2026-YTD,0,0.0,1,0.12903225806451613,16,0.42258064516129035,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.24838709677419354,47,0.15161290322580645,15,0.04838709677419355
24,annual,2022,0,0.0,0,0.0,46,0.8026355196166517,0,0.0,0,0.0,61,0.10422282120395328,0,0.0,0,0.0,0,0.0,0,0.0,43,0.0434261755016472,132,0.04971548367774783
24,annual,2023,0,0.0,0,0.0,63,0.7777777777777778,0,0.0,0,0.0,45,0.07764390896921017,0,0.0,0,0.0,0,0.0,5,0.024096385542168676,80,0.07061579651941098,149,0.0498661311914324
24,annual,2024,0,0.0,0,0.0,86,0.7637702503681885,0,0.0,0,0.0,56,0.0801178203240059,0,0.0,0,0.0,0,0.0,10,0.036818851251840944,86,0.06980854197349043,164,0.049484536082474224
24,annual,2026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0
24,quarterly,2022-Q1,0,0.0,0,0.0,16,0.7184986595174263,0,0.0,0,0.0,5,0.045576407506702415,0,0.0,0,0.0,0,0.0,5,0.08310991957104558,21,0.10455764075067024,18,0.04825737265415549
24,quarterly,2022-Q2,0,0.0,6,0.23771093176815847,28,0.5531914893617021,0,0.0,1,0.005135730007336757,19,0.06823184152604549,0,0.0,0,0.0,0,0.0,2,0.01173881144534116,34,0.07410124724871607,66,0.049889948642699924
24,quarterly,2022-Q3,0,0.0,2,0.029561671763506627,27,0.6381243628950051,0,0.0,0,0.0,13,0.045871559633027525,0,0.0,0,0.0,0,0.0,13,0.13353720693170235,39,0.10295616717635066,47,0.04994903160040775
24,quarterly,2022-Q4,0,0.0,4,0.25562700964630225,26,0.37942122186495175,0,0.0,0,0.0,1,0.00482315112540193,0,0.0,0,0.0,0,0.0,16,0.16881028938906753,56,0.1414790996784566,31,0.04983922829581994
24,quarterly,2023-Q1,0,0.0,0,0.0,21,0.6325301204819277,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.1686746987951807,41,0.15060240963855423,16,0.04819277108433735
24,quarterly,2023-Q2,0,0.0,7,0.2079207920792079,32,0.49306930693069306,0,0.0,0,0.0,10,0.034653465346534656,0,0.0,0,0.0,0,0.0,11,0.100990099009901,57,0.11386138613861387,50,0.04950495049504951
24,quarterly,2023-Q3,0,0.0,3,0.04897159647404505,27,0.5719882468168462,0,0.0,0,0.0,9,0.030362389813907934,0,0.0,0,0.0,0,0.0,16,0.1821743388834476,59,0.11655239960822723,51,0.04995102840352596
24,quarterly,2023-Q4,0,0.0,1,0.0272,34,0.616,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,0.16,67,0.1472,31,0.0496
24,quarterly,2024-Q1,0,0.0,1,0.019672131147540985,20,0.5770491803278689,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.2098360655737705,38,0.14426229508196722,15,0.04918032786885246
24,quarterly,2024-Q2,0,0.0,13,0.3704481792717087,38,0.31932773109243695,0,0.0,0,0.0,13,0.03011204481792717,0,0.0,0,0.0,0,0.0,21,0.11064425770308123,75,0.11974789915966387,71,0.04971988795518207
24,quarterly,2024-Q3,0,0.0,2,0.048458149779735685,30,0.5814977973568282,0,0.0,0,0.0,8,0.02643171806167401,0,0.0,0,0.0,0,0.0,21,0.17290748898678415,69,0.1211453744493392,45,0.04955947136563876
24,quarterly,2024-Q4,0,0.0,0,0.0,45,0.7320954907161804,0,0.0,0,0.0,4,0.01856763925729443,0,0.0,0,0.0,0,0.0,7,0.07161803713527852,60,0.1286472148541114,37,0.04907161803713528
24,quarterly,2026-Q1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0
24,ytd,2026-YTD,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0
29,annual,2022,0,0.0,0,0.0,28,0.80625,0,0.0,0,0.0,29,0.13303571428571428,0,0.0,0,0.0,0,0.0,0,0.0,3,0.013392857142857142,44,0.04732142857142857
29,annual,2023,0,0.0,2,0.2330316742081448,41,0.548265460030166,0,0.0,0,0.0,21,0.058823529411764705,0,0.0,0,0.0,0,0.0,3,0.020361990950226245,75,0.08974358974358974,66,0.049773755656108594
29,annual,2024,0,0.0,1,0.06688154713940371,30,0.7187751813053989,0,0.0,0,0.0,14,0.0410958904109589,0,0.0,0,0.0,0,0.0,3,0.017727639000805803,82,0.10556003223207092,62,0.0499597099113618
29,annual,2026,0,0.0,0,0.0,6,0.7272727272727273,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0743801652892562,10,0.1487603305785124,6,0.049586776859504134
29,quarterly,2022-Q1,0,0.0,2,0.33191489361702126,13,0.44680851063829785,0,0.0,0,0.0,1,0.01276595744680851,0,0.0,0,0.0,0,0.0,2,0.02553191489361702,22,0.13617021276595745,11,0.04680851063829787
29,quarterly,2022-Q2,0,0.0,5,0.4068441064638783,17,0.3231939163498099,0,0.0,0,0.0,4,0.045627376425855515,0,0.0,0,0.0,0,0.0,5,0.07604562737642585,13,0.10266159695817491,12,0.045627376425855515
29,quarterly,2022-Q3,0,0.0,0,0.0,18,0.7162629757785467,0,0.0,0,0.0,5,0.05536332179930796,0,0.0,0,0.0,0,0.0,5,0.08996539792387544,15,0.08996539792387544,14,0.04844290657439446
29,quarterly,2022-Q4,0,0.0,4,0.24024024024024024,16,0.5435435435435435,0,0.0,0,0.0,5,0.04804804804804805,0,0.0,0,0.0,0,0.0,1,0.021021021021021023,20,0.0990990990990991,16,0.04804804804804805
29,quarterly,2023-Q1,0,0.0,4,0.5058365758754864,12,0.29961089494163423,0,0.0,0,0.0,2,0.027237354085603113,0,0.0,0,0.0,0,0.0,0,0.0,17,0.12062256809338522,12,0.04669260700389105
29,quarterly,2023-Q2,0,0.0,4,0.38873239436619716,21,0.36338028169014086,0,0.0,0,0.0,6,0.05070422535211268,0,0.0,0,0.0,0,0.0,6,0.056338028169014086,21,0.09295774647887324,17,0.04788732394366197
29,quarterly,2023-Q3,0,0.0,0,0.0,12,0.589622641509434,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.22169811320754718,22,0.14150943396226415,10,0.04716981132075472
29,quarterly,2023-Q4,0,0.0,4,0.300796812749004,20,0.3665338645418327,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.13346613545816732,75,0.14940239043824702,25,0.049800796812749
29,quarterly,2024-Q1,1,0.08604651162790698,5,0.5093023255813953,5,0.19069767441860466,0,0.0,0,0.0,6,0.06511627906976744,0,0.0,0,0.0,0,0.0,1,0.023255813953488372,11,0.07674418604651163,21,0.04883720930232558
29,quarterly,2024-Q2,0,0.0,4,0.1652892561983471,20,0.5757575757575758,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.06336088154269973,38,0.14600550964187328,18,0.049586776859504134
29,quarterly,2024-Q3,0,0.0,1,0.12109375,12,0.4609375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34,0.21875,39,0.15234375,12,0.046875
29,quarterly,2024-Q4,0,0.0,2,0.375,10,0.2916666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.13541666666666666,22,0.15104166666666666,9,0.046875
29,quarterly,2026-Q1,0,0.0,1,0.38016528925619836,5,0.34710743801652894,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0743801652892562,10,0.1487603305785124,6,0.049586776859504134
