axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
service,daily,cajas_in,naive_t7,2,2024-12-13,2026-01-22,0.6608187134502924,0.3293285472229071,0.21661629813444408,0.4222222222222222,0.6318342151675485,0.6070368236805955,
service,daily,cajas_in,ma7,2,2024-12-13,2026-01-22,0.4803675856307435,0.2395172168014338,0.15746443922541764,0.40634920634920635,0.5300181752090148,0.5842158904595205,
service,daily,cajas_in,ma28,2,2024-12-13,2026-01-22,0.6458855472013367,0.3008318204469285,0.21172120795852353,0.42142857142857143,0.5304950415557742,0.6058957770195419,
service,daily,cajas_in,model_p50,2,2024-12-13,2026-01-22,0.34622976076709483,0.18090880593317174,0.11349407568946485,0.24038993430682692,0.27716103899724714,0.3456131261835866,
service,daily,cajas_in,model_p80,2,2024-12-13,2026-01-22,0.565476487659936,1.2934831239396951,0.18536312750497938,0.082916734266354,0.08269849461623302,0.11921094710293152,
service,daily,pales_in,naive_t7,2,2024-12-13,2026-01-22,0.8988439306358381,0.488338936809642,0.31991867598801543,0.8582089552238806,1.531366456311198,1.971631711608884,
service,daily,pales_in,ma7,2,2024-12-13,2026-01-22,0.7436003303055326,0.3750909484603033,0.26466400342416896,0.636460554371002,0.9190969862064989,1.4621914681124268,
service,daily,pales_in,ma28,2,2024-12-13,2026-01-22,0.7408133773740709,0.8150834297304759,0.26367206448851477,0.7289445628997868,1.1314270083495863,1.6746623388976078,
service,daily,pales_in,model_p50,2,2024-12-13,2026-01-22,0.39740445683961195,1.235488605580491,0.14144514228841581,0.487017971978324,0.6464282894623782,1.1188651339875826,
service,daily,pales_in,model_p80,2,2024-12-13,2026-01-22,0.4204787097840312,1.2764327621325582,0.1496577854401243,0.3653258594265537,0.4375442703903792,0.83929216204492,
service,daily,peso_facturable_in,naive_t7,2,2024-12-13,2026-01-22,0.9028033323985472,0.4454294528437911,0.26584423156579373,0.8909268544014465,1.6046453175296989,1.5382239430447717,
service,daily,peso_facturable_in,ma7,2,2024-12-13,2026-01-22,0.8250296558456216,0.44366537430639014,0.2429425845101405,0.6644129419856271,1.0223758498435924,1.147137826615106,
service,daily,peso_facturable_in,ma28,2,2024-12-13,2026-01-22,0.9267660007211208,0.48554417540063843,0.2729004052836687,0.6647025850710472,0.9936438522183452,1.1476379079929764,
service,daily,peso_facturable_in,model_p50,2,2024-12-13,2026-01-22,0.5747678549635191,1.2847120996081403,0.1692491744858143,0.2337350492614904,0.2459924696603922,0.4035537230992125,
service,daily,peso_facturable_in,model_p80,2,2024-12-13,2026-01-22,0.899765799530354,1.375450054227594,0.2649497836143719,0.19939422466195883,0.1728850719663081,0.3442627966197439,
service,daily,conteo_servicios,naive_t7,3,2026-01-23,2026-02-19,0.6233480176211453,0.6469629900998304,0.5452124510746174,0.5428571428571428,0.937221269296741,2.635514604487903,
service,daily,conteo_servicios,ma7,3,2026-01-23,2026-02-19,0.6434864694776589,0.6108139386886121,0.5628265837696075,0.7091836734693877,1.1253315755180715,3.4430125002238583,
service,daily,conteo_servicios,ma28,3,2026-01-23,2026-02-19,0.6238200125865323,0.5979049831528316,0.545625282309656,0.7948979591836736,1.3282021151204004,3.8591463851430006,
service,daily,conteo_servicios,model_p50,3,2026-01-23,2026-02-19,0.18060840903270656,0.2612125603835063,0.15796946583578686,0.13879319156380576,0.1486091327158944,0.6738264167340213,
service,daily,conteo_servicios,model_p80,3,2026-01-23,2026-02-19,0.18289404140890578,0.30253119286507074,0.15996859825436538,0.12598963398346616,0.11826016985016059,0.6116664849059403,
service,daily,m3_out,naive_t7,3,2026-01-23,2026-02-19,0.7423786176962286,0.5237295179770646,0.3812944324074669,0.5500838493292053,0.943224899363888,1.6123862599591614,
service,daily,m3_out,ma7,3,2026-01-23,2026-02-19,0.6707868130969239,0.6462827534284342,0.34452403540380755,0.66750285640572,1.0138752400248268,1.9565606870016758,
service,daily,m3_out,ma28,3,2026-01-23,2026-02-19,0.6465821092062778,1.2372900173594008,0.3320922134041185,0.7531812066932035,1.2160225239869618,2.20769802715076,
service,daily,m3_out,model_p50,3,2026-01-23,2026-02-19,0.16058271112410444,0.15801914983586995,0.0824771784005932,0.19795008845624715,0.17850344034300966,0.5802242752150693,
service,daily,m3_out,model_p80,3,2026-01-23,2026-02-19,0.24988681286655484,1.1763632722400204,0.1283448205630451,0.3143629359493541,0.2646197964369006,0.9214494829893005,
service,daily,cajas_out,naive_t7,3,2026-01-23,2026-02-19,0.6356548856548857,0.40561824479164915,0.49100533765541554,0.6134663341645885,1.0525771928185754,3.5554728293347178,
service,daily,cajas_out,ma7,3,2026-01-23,2026-02-19,0.7217107217107218,0.44815541218193977,0.5574783181883703,0.7370858567866049,1.1956080153517759,4.271935704932364,
service,daily,cajas_out,ma28,3,2026-01-23,2026-02-19,0.7183880308880309,0.62750867499888,0.5549117384827192,0.8449412183826148,1.470566486896898,4.897034078382472,
service,daily,cajas_out,model_p50,3,2026-01-23,2026-02-19,0.36096621299802367,1.0532041353136963,0.27882478573682773,0.5260799826966426,0.7154427675009001,3.0490068979611835,
service,daily,cajas_out,model_p80,3,2026-01-23,2026-02-19,0.28534600533902216,1.1266637747253803,0.22041270327965065,0.29948165631786033,0.35873269602058305,1.7357087628489694,
