segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,018091|018092,018095,2,1,0.0061611970325663274,0.8305084745762712,83.6080240291783,49,7953
ALL,018095,018091|018092,1,2,0.0061611970325663274,0.6202531645569621,83.6080240291783,49,7953
ALL,018094,018093,1,1,0.006915629322268326,0.7236842105263158,83.41247139588101,55,7953
ALL,018093,018094,1,1,0.006915629322268326,0.7971014492753623,83.412471395881,55,7953
ALL,018093|018094,018091,2,1,0.005406764742864328,0.7818181818181819,81.81315789473685,43,7953
ALL,018091,018093|018094,1,2,0.005406764742864328,0.5657894736842105,81.81315789473685,43,7953
ALL,018094|018095,018092,2,1,0.005155287312963662,0.8541666666666667,80.87127976190477,41,7953
ALL,018092,018094|018095,1,2,0.005155287312963662,0.48809523809523814,80.87127976190477,41,7953
ALL,018092|018094,018095,2,1,0.005155287312963662,0.7735849056603774,77.8774779078099,41,7953
ALL,018095,018092|018094,1,2,0.005155287312963662,0.518987341772152,77.8774779078099,41,7953
ALL,018093,018092|018095,1,2,0.005029548598013328,0.5797101449275363,76.84057971014494,40,7953
ALL,018092|018095,018093,2,1,0.005029548598013328,0.6666666666666666,76.84057971014492,40,7953
ALL,018091|018092,018094,2,1,0.005406764742864328,0.7288135593220338,76.2665031222123,43,7953
ALL,018094,018091|018092,1,2,0.005406764742864328,0.5657894736842105,76.2665031222123,43,7953
ALL,018093|018094,018092,2,1,0.005406764742864328,0.7818181818181819,74.02142857142859,43,7953
ALL,018095|143122,018092,2,1,0.005406764742864328,0.7818181818181819,74.02142857142859,43,7953
ALL,018092,018093|018094,1,2,0.005406764742864328,0.511904761904762,74.02142857142859,43,7953
ALL,018092,018095|143122,1,2,0.005406764742864328,0.511904761904762,74.02142857142859,43,7953
ALL,018091,018092,1,1,0.0074185841820696595,0.7763157894736842,73.50046992481204,59,7953
ALL,018092,018091,1,1,0.0074185841820696595,0.7023809523809524,73.50046992481204,59,7953
ALL,018092|143124,018095,2,1,0.005406764742864328,0.7288135593220338,73.37030680111565,43,7953
ALL,018095,018092|143124,1,2,0.005406764742864328,0.5443037974683544,73.37030680111565,43,7953
ALL,018093,018091,1,1,0.006035458317615994,0.6956521739130436,72.79633867276888,48,7953
ALL,018091,018093,1,1,0.006035458317615994,0.631578947368421,72.79633867276888,48,7953
ALL,018095,018092,1,1,0.007544322897019992,0.759493670886076,71.90777576853527,60,7953
ALL,018092,018095,1,1,0.007544322897019992,0.7142857142857143,71.90777576853527,60,7953
ALL,018095,018091,1,1,0.0067898906073179935,0.6835443037974684,71.52931379080614,54,7953
ALL,018091,018095,1,1,0.0067898906073179935,0.7105263157894737,71.52931379080613,54,7953
ALL,018092|018095,018094,2,1,0.005155287312963662,0.6833333333333333,71.50723684210527,41,7953
ALL,018094,018092|018095,1,2,0.005155287312963662,0.5394736842105263,71.50723684210527,41,7953
ALL,018092,143122,1,1,0.005406764742864328,0.511904761904762,70.1927339901478,43,7953
ALL,143122,018092,1,1,0.005406764742864328,0.7413793103448276,70.19273399014779,43,7953
ALL,143124,018095,1,1,0.005406764742864328,0.6825396825396824,68.71187462326702,43,7953
ALL,018095,143124,1,1,0.005406764742864328,0.5443037974683544,68.71187462326702,43,7953
ALL,192032,169003,1,1,0.005281026027913994,0.6774193548387096,66.51254480286738,42,7953
ALL,169003,192032,1,1,0.005281026027913994,0.5185185185185185,66.51254480286738,42,7953
ALL,018092,018094,1,1,0.00666415189236766,0.630952380952381,66.02584586466166,53,7953
ALL,018094,018092,1,1,0.00666415189236766,0.6973684210526315,66.02584586466165,53,7953
ALL,018093,018092,1,1,0.006035458317615994,0.6956521739130436,65.8633540372671,48,7953
ALL,018092,018093,1,1,0.006035458317615994,0.5714285714285715,65.8633540372671,48,7953
ALL,031006|204000,022009,2,1,0.0061611970325663274,0.9074074074074074,64.43402777777779,49,7953
ALL,022009,031006|204000,1,2,0.0061611970325663274,0.4375,64.43402777777777,49,7953
ALL,018093,018095,1,1,0.005532503457814661,0.6376811594202899,64.19592735277932,44,7953
ALL,018095,018093,1,1,0.005532503457814661,0.5569620253164558,64.19592735277932,44,7953
ALL,018094,018095,1,1,0.006035458317615994,0.631578947368421,63.58161225849434,48,7953
ALL,018095,018094,1,1,0.006035458317615994,0.6075949367088608,63.58161225849434,48,7953
ALL,018091,018094,1,1,0.005783980887715328,0.6052631578947368,63.33760387811634,46,7953
ALL,018094,018091,1,1,0.005783980887715328,0.6052631578947368,63.33760387811634,46,7953
ALL,022009|204000,031006,2,1,0.0061611970325663274,0.8305084745762712,62.31164055004797,49,7953
ALL,031006,022009|204000,1,2,0.0061611970325663274,0.46226415094339623,62.31164055004797,49,7953
ALL,022009,031006,1,1,0.010310574625927323,0.7321428571428572,54.931435309973054,82,7953
