pedido_id,n_propietarios_distintos,n_lineas_pi_totales,n_skus_distintos_totales,proxy_recorridos,penalty_ratio,is_multi_propietario
SGE202313176,4,9,9,4,4.0,1
SGE202313342,4,9,7,4,4.0,1
SGE202313363,4,9,9,4,4.0,1
SGE202314594,4,9,8,4,4.0,1
SGE202419452,4,9,7,4,4.0,1
SGE202420248,4,9,8,4,4.0,1
SGE202421262,4,9,7,4,4.0,1
SGE202423319,4,9,4,4,4.0,1
SGE202423706,4,9,9,4,4.0,1
SGP202210071,4,9,9,4,4.0,1
SGP202417093,4,9,7,4,4.0,1
SGE202210125,4,8,7,4,4.0,1
SGE202210614,4,8,5,4,4.0,1
SGE202315248,4,8,6,4,4.0,1
SGE202315800,4,8,6,4,4.0,1
SGE202315951,4,8,8,4,4.0,1
SGE202417676,4,8,7,4,4.0,1
SGE202420968,4,8,8,4,4.0,1
SGP202417355,4,8,5,4,4.0,1
SGE202206615,4,7,7,4,4.0,1
SGE202209366,4,7,6,4,4.0,1
SGE202313886,4,7,5,4,4.0,1
SGE202315658,4,7,6,4,4.0,1
SGE202315970,4,7,4,4,4.0,1
SGE202316089,4,7,6,4,4.0,1
SGE202417720,4,7,7,4,4.0,1
SGE202417854,4,7,5,4,4.0,1
SGE202419869,4,7,4,4,4.0,1
SGE202422352,4,7,7,4,4.0,1
SGE202422739,4,7,6,4,4.0,1
SGE202423336,4,7,7,4,4.0,1
SGP202314448,4,7,7,4,4.0,1
SGP202417089,4,7,7,4,4.0,1
SGP202419908,4,7,6,4,4.0,1
SGP202422337,4,7,5,4,4.0,1
SGE202207729,4,6,6,4,4.0,1
SGE202207758,4,6,6,4,4.0,1
SGE202311633,4,6,4,4,4.0,1
SGE202312790,4,6,6,4,4.0,1
SGE202313452,4,6,6,4,4.0,1
SGE202315188,4,6,4,4,4.0,1
SGE202315740,4,6,6,4,4.0,1
SGE202315901,4,6,4,4,4.0,1
SGE202316757,4,6,5,4,4.0,1
SGE202419547,4,6,5,4,4.0,1
SGE202420099,4,6,4,4,4.0,1
SGE202422206,4,6,5,4,4.0,1
SGE202423671,4,6,6,4,4.0,1
SGP202314505,4,6,6,4,4.0,1
SGP202315053,4,6,5,4,4.0,1
SGP202418899,4,6,5,4,4.0,1
SGP202419160,4,6,4,4,4.0,1
SGP202423264,4,6,5,4,4.0,1
SGE202209736,4,5,5,4,4.0,1
SGE202315751,4,5,5,4,4.0,1
SGE202419817,4,5,5,4,4.0,1
SGE202420394,4,5,5,4,4.0,1
SGE202422028,4,5,5,4,4.0,1
SGP202210070,4,5,4,4,4.0,1
SGP202625013,4,5,5,4,4.0,1
SGE202207407,4,4,4,4,4.0,1
SGE202210622,4,4,4,4,4.0,1
SGE202311750,4,4,3,4,4.0,1
SGE202419183,4,4,3,4,4.0,1
SGE202420692,4,4,4,4,4.0,1
SGP202314422,4,4,4,4,4.0,1
SGE202312152,3,79,68,3,3.0,1
SGE202210397,3,53,39,3,3.0,1
SGE202423295,3,51,48,3,3.0,1
SGE202419595,3,50,9,3,3.0,1
SGE202312884,3,47,41,3,3.0,1
SGE202206333,3,46,31,3,3.0,1
SGE202312070,3,43,36,3,3.0,1
SGE202421651,3,43,29,3,3.0,1
SGE202421128,3,36,23,3,3.0,1
SGE202209969,3,34,26,3,3.0,1
SGE202314524,3,34,14,3,3.0,1
SGE202417347,3,33,21,3,3.0,1
SGE202420672,3,32,20,3,3.0,1
SGE202417414,3,31,20,3,3.0,1
SGE202421163,3,30,21,3,3.0,1
SGP202423285,3,30,12,3,3.0,1
SGE202314650,3,29,16,3,3.0,1
SGE202314656,3,27,19,3,3.0,1
SGE202417754,3,27,15,3,3.0,1
SGE202422227,3,27,12,3,3.0,1
SGE202624830,3,27,12,3,3.0,1
SGE202210100,3,25,11,3,3.0,1
SGE202311717,3,25,20,3,3.0,1
SGE202315444,3,25,13,3,3.0,1
SGE202418112,3,25,14,3,3.0,1
SGE202422973,3,25,19,3,3.0,1
SGE202210682,3,24,22,3,3.0,1
SGE202417752,3,24,18,3,3.0,1
SGE202208127,3,23,17,3,3.0,1
SGE202210552,3,23,13,3,3.0,1
SGE202417369,3,23,19,3,3.0,1
SGE202418917,3,23,6,3,3.0,1
SGE202423372,3,23,17,3,3.0,1
SGE202206589,3,22,19,3,3.0,1
SGE202210470,3,22,9,3,3.0,1
SGE202315322,3,22,19,3,3.0,1
SGE202312115,3,21,11,3,3.0,1
SGE202313490,3,21,13,3,3.0,1
SGE202315021,3,21,19,3,3.0,1
SGE202422921,3,21,20,3,3.0,1
SGE202208100,3,20,16,3,3.0,1
SGE202210583,3,20,16,3,3.0,1
SGE202313081,3,20,14,3,3.0,1
SGE202418784,3,20,7,3,3.0,1
SGE202422382,3,20,13,3,3.0,1
SGE202206952,3,19,15,3,3.0,1
SGE202209709,3,19,8,3,3.0,1
SGE202312609,3,19,16,3,3.0,1
SGE202315790,3,19,17,3,3.0,1
SGE202419150,3,19,19,3,3.0,1
SGE202420676,3,19,18,3,3.0,1
SGE202421125,3,19,8,3,3.0,1
SGE202423768,3,19,8,3,3.0,1
SGE202206797,3,18,15,3,3.0,1
SGE202207437,3,18,7,3,3.0,1
SGE202209183,3,18,13,3,3.0,1
SGE202210346,3,18,10,3,3.0,1
SGE202210366,3,18,11,3,3.0,1
SGE202312060,3,18,11,3,3.0,1
SGE202312261,3,18,9,3,3.0,1
SGE202313985,3,18,13,3,3.0,1
SGE202315232,3,18,17,3,3.0,1
SGE202417226,3,18,13,3,3.0,1
SGE202417794,3,18,17,3,3.0,1
SGE202418248,3,18,7,3,3.0,1
SGE202419574,3,18,15,3,3.0,1
SGE202420069,3,17,8,3,3.0,1
SGE202421781,3,17,16,3,3.0,1
SGE202421994,3,17,11,3,3.0,1
SGE202422826,3,17,10,3,3.0,1
SGE202207539,3,16,16,3,3.0,1
SGE202207584,3,16,15,3,3.0,1
SGE202207643,3,16,11,3,3.0,1
SGE202209148,3,16,14,3,3.0,1
SGE202209336,3,16,12,3,3.0,1
SGE202313677,3,16,12,3,3.0,1
SGE202316157,3,16,11,3,3.0,1
SGE202419007,3,16,13,3,3.0,1
SGE202419152,3,16,14,3,3.0,1
SGE202421144,3,16,15,3,3.0,1
SGE202421975,3,16,15,3,3.0,1
SGE202210391,3,15,14,3,3.0,1
SGE202311616,3,15,5,3,3.0,1
SGE202312109,3,15,14,3,3.0,1
SGE202316117,3,15,14,3,3.0,1
SGE202418662,3,15,15,3,3.0,1
SGE202421086,3,15,12,3,3.0,1
SGP202418939,3,15,10,3,3.0,1
SGE202312603,3,14,12,3,3.0,1
SGE202313678,3,14,11,3,3.0,1
SGE202313840,3,14,12,3,3.0,1
SGE202314699,3,14,13,3,3.0,1
SGE202315719,3,14,12,3,3.0,1
SGE202418632,3,14,10,3,3.0,1
SGE202419527,3,14,12,3,3.0,1
SGE202420102,3,14,8,3,3.0,1
SGE202420914,3,14,14,3,3.0,1
SGE202422380,3,14,14,3,3.0,1
SGE202423583,3,14,14,3,3.0,1
SGE202210020,3,13,12,3,3.0,1
SGE202312529,3,13,9,3,3.0,1
SGE202312675,3,13,9,3,3.0,1
SGE202315066,3,13,11,3,3.0,1
SGE202316748,3,13,9,3,3.0,1
SGE202418109,3,13,10,3,3.0,1
SGE202418993,3,13,13,3,3.0,1
SGE202419013,3,13,5,3,3.0,1
SGE202421133,3,13,12,3,3.0,1
SGP202210486,3,13,9,3,3.0,1
SGE202206052,3,12,8,3,3.0,1
SGE202206721,3,12,12,3,3.0,1
SGE202207910,3,12,11,3,3.0,1
SGE202208091,3,12,9,3,3.0,1
SGE202209711,3,12,6,3,3.0,1
SGE202311356,3,12,8,3,3.0,1
SGE202312213,3,12,11,3,3.0,1
SGE202314519,3,12,11,3,3.0,1
SGE202314988,3,12,11,3,3.0,1
SGE202315292,3,12,11,3,3.0,1
SGE202315955,3,12,12,3,3.0,1
SGE202417304,3,12,8,3,3.0,1
SGE202419304,3,12,9,3,3.0,1
SGP202209350,3,12,7,3,3.0,1
SGP202316538,3,12,5,3,3.0,1
SGP202421302,3,12,12,3,3.0,1
SGE202206080,3,11,11,3,3.0,1
SGE202206091,3,11,7,3,3.0,1
SGE202206408,3,11,10,3,3.0,1
SGE202206532,3,11,9,3,3.0,1
SGE202206983,3,11,11,3,3.0,1
SGE202311172,3,11,8,3,3.0,1
SGE202311613,3,11,10,3,3.0,1
SGE202311663,3,11,7,3,3.0,1
SGE202311796,3,11,7,3,3.0,1
SGE202315394,3,11,4,3,3.0,1
SGE202315570,3,11,10,3,3.0,1
SGE202316190,3,11,9,3,3.0,1
SGE202417530,3,11,11,3,3.0,1
SGE202417556,3,11,10,3,3.0,1
SGE202418894,3,11,10,3,3.0,1
SGE202422183,3,11,10,3,3.0,1
SGE202422354,3,11,5,3,3.0,1
SGP202210017,3,11,6,3,3.0,1
SGP202313418,3,11,6,3,3.0,1
SGP202313844,3,11,11,3,3.0,1
SGP202417361,3,11,11,3,3.0,1
SGP202624938,3,11,5,3,3.0,1
SGE202206369,3,10,8,3,3.0,1
