segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,018002,AGUA CRISTAL 75CL SOLAN C/GAS CJ CARTÓN,107,014-077-30,7953,0.013454042499685653,7,6559,40210
ALL,201026,CARPA NEGRA 1890 MAHOU,107,015-108-00,7953,0.013454042499685653,7,6559,40210
ALL,031006,SILLA DIRECTOR TELA ROJA MAHOU,106,011-020-00,7953,0.01332830378473532,7,6559,40210
ALL,167006,BOTELLERO BLANCO CERVEZAS  ALHAMBRA,104,015-002-20,7953,0.013076826354834654,7,6559,40210
ALL,011013,CERVEZA 33CL MAHOU BARRICA ORIGINAL,103,015-019-20,7953,0.012951087639884321,7,6559,40210
ALL,031047,SILLA PLÁSTICO MARRÓN DESDE 1890 MAHOU,103,015-104-10,7953,0.012951087639884321,7,6559,40210
ALL,143022,CAJA DECORACION BOTELLA VERDE ALHAMBRA,101,014-111-20,7953,0.012699610209983654,7,6559,40210
ALL,018071,LATA AGUA 33CL AZUL SOLAN,100,015-023-30,7953,0.01257387149503332,7,6559,40210
ALL,063014,COPA 33CL ALHAMBRA  ARRAYANES EVENTOS,100,014-001-30,7953,0.01257387149503332,7,6559,40210
ALL,012037,CERVEZA 33CL ALHAMBRA ESENCIA CITRA IPA,99,014-071-30,7953,0.012448132780082987,7,6559,40210
ALL,204051,CONTRAPESO CARPA NEGRO,99,016-039-00,7953,0.012448132780082987,7,6559,40210
ALL,031045,SILLA TERRAZA MARRON MAHOU IRRADIACIÓN,98,021-078-30,7953,0.012322394065132655,7,6559,40210
ALL,051086,LUMINOSO LED GRANDE ROJO LOGO M  MAHOU,98,011-094-00,7953,0.012322394065132655,7,6559,40210
ALL,011024,CERVEZA 33CL MAHOU RADLER (3116),93,016-117-00,7953,0.011693700490380989,7,6559,40210
ALL,204030,CONTRAPESO CARPA,90,016-037-00,7953,0.011316484345529988,7,6559,40210
ALL,143020,CAJA LOGO BLANCO  CERVEZAS  MAHOU,88,014-098-30,7953,0.011065006915629323,7,6559,40210
ALL,091013,BARRA 1M RETROILUMINADA MAHOU,86,015-018-40,7953,0.010813529485728656,7,6559,40210
ALL,018105,AGUA 33CL SOLAN PLASTICO TAPON SOSTENIBL,85,020-094-10,7953,0.010687790770778322,7,6559,40210
ALL,018092,AGUA  1L 10º EDICION SDC 2023 ALEGRIA,84,200-040-00,7953,0.010562052055827989,7,6559,40210
ALL,167001,BOTELLERO MARRÓN DESDE 1890  MAHOU,84,015-108-10,7953,0.010562052055827989,7,6559,40210
ALL,012017,CERVEZA 33CL ESPECIAL SAN MIGUEL CJ CART,82,015-125-10,7953,0.010310574625927323,7,6559,40210
ALL,169003,REGLETA BLANCA Y NEGRAS,81,010-069-02,7953,0.01018483591097699,7,6559,40210
ALL,202062,SOMBRILLA NEGRA SIN LOGO BRUTUS,81,010-112-00,7953,0.01018483591097699,7,6559,40210
ALL,167005,BOTELLERO VERDE SAN MIGUEL,80,015-008-20,7953,0.010059097196026656,7,6559,40210
ALL,018095,AGUA  1L 10º EDICION SDC 2023 SERENIDAD,79,200-040-00,7953,0.009933358481076323,7,6559,40210
ALL,124235,ESTUCHE NUEVA MAHOU ROSE,78,013-123-30,7953,0.00980761976612599,7,6559,40210
ALL,142004,PLANTA ARTIFICIAL PEQUEÑA MOD.1,77,012-051-04,7953,0.009681881051175657,7,6559,40210
ALL,018091,AGUA  1L 10º EDICION SDC 2023 ESPERANZA,76,200-040-00,7953,0.009556142336225324,7,6559,40210
ALL,018094,AGUA  1L 10º EDICION SDC 2023 FUERZA,76,200-040-00,7953,0.009556142336225324,7,6559,40210
ALL,167003,BOTELLERO AZUL SOLAN,76,015-018-20,7953,0.009556142336225324,7,6559,40210
ALL,012062,CERVEZA SAN MIGUEL 33CL BOTTLE CAN,74,022-109-10,7953,0.009304664906324657,7,6559,40210
ALL,014000,CERVEZA 33CL SAN MIGUEL ESPECIAL SIN GLU,74,019-095-30,7953,0.009304664906324657,7,6559,40210
ALL,031156,SILLA NEGRA MOINDE,74,200-040-00,7953,0.009304664906324657,7,6559,40210
ALL,011009,CERVEZA 33CL MAHOU BARRICA BOURBON,72,012-019-20,7953,0.009053187476423991,7,6559,40210
ALL,142008,PLANTA ARTIFICIAL PEQUEÑA MOD.5,72,012-049-03,7953,0.009053187476423991,7,6559,40210
ALL,016024,"BARRIL 20L MAHOU 0,0 TOSTADA",71,015-049-40,7953,0.008927448761473658,7,6559,40210
ALL,018093,AGUA  1L 10º EDICION SDC 2023 CONFIANZA,69,200-040-00,7953,0.00867597133157299,7,6559,40210
ALL,092073,"BARRA  MARRON 1,50CM  LED LOGO MAHOU",69,015-161-10,7953,0.00867597133157299,7,6559,40210
ALL,018023,AGUA BOTELLA CRISTAL 1L CAJA PLÁ  SOLAN,68,022-083-10,7953,0.008550232616622659,7,6559,40210
ALL,012016,CERVEZA 33CL SAN MIGUEL SELECTA,67,015-109-20,7953,0.008424493901672325,7,6559,40210
ALL,012014,CERVEZA 33CL PACK4 RESERVA 1925 ALHAMBRA,66,015-057-40,7953,0.008298755186721992,7,6559,40210
ALL,093002,TRASERA MADERA BALDA METR CERVEZAS  ALH,66,014-069-00,7953,0.008298755186721992,7,6559,40210
ALL,203025,CATENARIA NEGRA LOGO M 5 ESTRELLAS  MAHO,66,011-102-00,7953,0.008298755186721992,7,6559,40210
ALL,011115,CERVEZA 33CL MAHOU 5 ESTRELLAS NUEVA IMA,64,015-035-10,7953,0.008047277756821325,7,6559,40210
ALL,174006,TOTEM ROJO MAHOU VINILICO,64,015-077-00,7953,0.008047277756821325,7,6559,40210
ALL,202044,SOMBRILLA BEIGE ECO 1890 MAHOU EVENTOS,64,013-073-00,7953,0.008047277756821325,7,6559,40210
ALL,015018,LATA 33CL CERVEZA MAHOU SIN FILTRAR (527,63,015-045-40,7953,0.007921539041870993,7,6559,40210
ALL,051106,LUMINOSO BOMBILLAS METAL BASE ROJA,63,011-100-00,7953,0.007921539041870993,7,6559,40210
ALL,143124,CAJA ED LIMITADA SDC 2023 ALEGRIA,63,200-040-00,7953,0.007921539041870993,7,6559,40210
ALL,018086,AGUA 33CL SOLAN CRISTAL CAJA CARTÓNX24U,62,015-133-30,7953,0.007795800326920659,7,6559,40210
ALL,192032,ALARGADOR / RULO,62,010-061-30,7953,0.007795800326920659,7,6559,40210
ALL,011000,CERVEZA 33CL MAHOU MAESTRA DUNKEL,60,015-117-20,7953,0.007544322897019992,7,6559,40210
ALL,013070,CERVEZA 33CL SUNSET GLOWY,60,015-109-20,7953,0.007544322897019992,7,6559,40210
ALL,013071,CERVEZA 33CL LILLAC GLOWY,60,015-117-30,7953,0.007544322897019992,7,6559,40210
ALL,041085,ESTANTERÍA MARRÓN 5 BALDAS (OPEN),60,014-064-00,7953,0.007544322897019992,7,6559,40210
ALL,091135,"BARRA 1,5MEGABRAND S/LED LOGO 1890MAHOU",59,013-023-00,7953,0.0074185841820696595,7,6559,40210
ALL,013069,CERVEZA 33CL PINKO GLOWY,58,015-021-10,7953,0.007292845467119326,7,6559,40210
ALL,143122,CAJA ED LIMITADA SDC 2023 SERENIDAD,58,200-040-00,7953,0.007292845467119326,7,6559,40210
ALL,014024,CERVEZA 33CL ALHAMBRA LAGER SIN,55,015-114-00,7953,0.006915629322268326,7,6559,40210
ALL,069002,BARCA LAVADO TRANSPORTE COPA SUCIA,55,200-050-00,7953,0.006915629322268326,7,6559,40210
ALL,143121,CAJA ED LIMITADA SDC 2023 ESPERANZA,55,200-040-00,7953,0.006915629322268326,7,6559,40210
ALL,018018,AGUA 50CL CRISTAL CAJA  20UNDS SOLAN,53,016-107-10,7953,0.00666415189236766,7,6559,40210
ALL,041066,ESTANTERIA CON RUEDAS MAHOU DESDE 1890,53,012-072-00,7953,0.00666415189236766,7,6559,40210
ALL,061012,COPA 33CL MAESTRA DOBLE LÚPULO MAHOU,53,015-053-40,7953,0.00666415189236766,7,6559,40210
ALL,012048,CERVEZA 33CL SAN MIGUEL IPA YAKIMA VALLE,52,015-051-20,7953,0.006538413177417327,7,6559,40210
ALL,065037,COPA TEKU 33CL LOGO NEGRO PIÑA BLANCA CE,52,014-055-20,7953,0.006538413177417327,7,6559,40210
ALL,072090,VASO PLASTICO ECO BRUTUS 40CL,52,012-083-40,7953,0.006538413177417327,7,6559,40210
ALL,143123,CAJA ED LIMITADA SDC 2023 FUERZA,52,200-040-00,7953,0.006538413177417327,7,6559,40210
ALL,018428,"AGUA 50CL PLÁSTICO SOLAN 2025 CALCIO, MA",50,015-009-40,7953,0.00628693574751666,7,6559,40210
ALL,023080,MESA TARNO ROJA RECTANGULAR MAHOU,50,015-132-30,7953,0.00628693574751666,7,6559,40210
ALL,031124,SILLA TARNO ROJA PLEGABLE MAHOU,50,016-097-10,7953,0.00628693574751666,7,6559,40210
ALL,143125,CAJA ED LIMITADA SDC 2023 CONFIANZA,50,200-040-00,7953,0.00628693574751666,7,6559,40210
ALL,1836BR,BALDA PARRILLA 457X914 MM,50,006-032-00,7953,0.00628693574751666,7,6559,40210
